/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[38;5;247mic[39m[38;5;245m|[39m[38;5;245m [39m[38;5;36m'[39m[38;5;36mtest in MLPHead[39m[38;5;36m'[39m[38;5;245m,[39m[38;5;245m [39m[38;5;247mtest[39m[38;5;245m:[39m[38;5;245m [39m[38;5;100mFalse[39m
Loaded model from /workspace/VideoAlignment_forked/result/tennis_carl/checkpoints/checkpoint_epoch_00299.pth (epoch 299)
Device: cuda
/workspace/Motion_Instruction_Generation/alignment/coachme_carl_embedding/extract_embeddings_and_align.py:72: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.no_grad(), torch.cuda.amp.autocast():
[185/1116] p9_serkick_s2.avi: 78fr -> aligned [0-77], expert [0-91], path_len=95, norm_cost=0.0947
[186/1116] p9_serkick_s3.avi: 82fr -> aligned [0-81], expert [0-91], path_len=98, norm_cost=0.1406
[187/1116] p10_serslice_s1.avi: 81fr -> aligned [0-80], expert [0-87], path_len=91, norm_cost=0.1200
[188/1116] p10_serslice_s2.avi: 88fr -> aligned [0-87], expert [0-87], path_len=101, norm_cost=0.1422
[189/1116] p10_serslice_s3.avi: 84fr -> aligned [0-83], expert [0-87], path_len=96, norm_cost=0.3017
[190/1116] p11_serslice_s1.avi: 88fr -> aligned [0-87], expert [0-87], path_len=96, norm_cost=0.2428
[191/1116] p11_serslice_s2.avi: 77fr -> aligned [0-76], expert [0-87], path_len=92, norm_cost=0.2488
[192/1116] p11_serslice_s3.avi: 58fr -> aligned [0-57], expert [0-87], path_len=88, norm_cost=0.2988
[193/1116] p12_serslice_s1.avi: 75fr -> aligned [0-74], expert [0-87], path_len=88, norm_cost=0.1874
[194/1116] p12_serslice_s2.avi: 78fr -> aligned [0-77], expert [0-87], path_len=93, norm_cost=0.2014
[195/1116] p12_serslice_s3.avi: 62fr -> aligned [0-61], expert [0-87], path_len=88, norm_cost=0.1703
[196/1116] p13_serslice_s1.avi: 75fr -> aligned [0-74], expert [0-87], path_len=90, norm_cost=0.1681
[197/1116] p13_serslice_s2.avi: 75fr -> aligned [0-74], expert [0-87], path_len=89, norm_cost=0.1321
[198/1116] p13_serslice_s3.avi: 81fr -> aligned [0-80], expert [0-87], path_len=89, norm_cost=0.1090
[199/1116] p14_serslice_s1.avi: 81fr -> aligned [0-80], expert [0-87], path_len=97, norm_cost=0.1357
[200/1116] p14_serslice_s2.avi: 78fr -> aligned [0-77], expert [0-87], path_len=91, norm_cost=0.0922
[201/1116] p14_serslice_s3.avi: 79fr -> aligned [0-78], expert [0-87], path_len=91, norm_cost=0.0894
